Country;ID League;League;OK KPI;Prioritaire
Argentina;D1;Primera Nacional;OUI;OUI
Brazil;D1;Serie A;OUI;OUI
Germany;D1;Bundesliga;OUI;OUI
Spain;D1;LaLiga;OUI;OUI
Europe;D1;Champions League;NON;NON
Europe;D1;Euro;NON;NON
Europe;D1;Europa League;NON;NON
Europe;D1;UEFA Nations League;NON;NON
France;D1;Ligue 1;OUI;OUI
England;D1;Premier League;OUI;OUI
Italy;D1;Serie A;OUI;OUI
Netherlands;D1;Eredivisie;OUI;OUI
Portugal;D1;Primeira Liga;OUI;OUI
Argentina;D2;Superliga;OUI;OUI
Brazil;D2;Serie B;OUI;OUI
Germany;D2;2. Bundesliga;OUI;OUI
Germany;D3;3. Liga;OUI;NON
Spain;D2;LaLiga2;OUI;OUI
France;D2;Ligue 2;OUI;OUI
France;D3;National;OUI;NON
England;D2;Championship;OUI;OUI
England;D3;League One;OUI;NON
England;D4;League Two;OUI;NON
England;D5;National League;OUI;NON
Italy;D2;Serie B;OUI;OUI
Netherlands;D2;Eerste Divisie;OUI;OUI
Portugal;D2;LigaPro;OUI;OUI
United Arab Emirates;D1;UAE League;OUI;NON
Austria;D1;Tipico Bundesliga;OUI;OUI
Australia;D1;A-League;OUI;OUI
Belgium;D1;Jupiler League;OUI;OUI
Belarus;D1;Vysshaya Liga;OUI;NON
China;D1;Super League;OUI;OUI
Czech Republic;D1;1. Liga;OUI;OUI
Denmark;D1;Superliga;OUI;OUI
Finland;D1;Veikkausliiga;OUI;OUI
Northern Ireland;D1;NIFL Premiership;OUI;NON
Scotland;D1;Premiership;OUI;OUI
Wales;D1;Cymru Premier;OUI;OUI
Greece;D1;Super League;OUI;OUI
Croatia;D1;1. HNL;OUI;OUI
Hungary;D1;OTP Bank Liga;OUI;OUI
Ireland;D1;Premier Division;OUI;OUI
Israel;D1;Ligat ha'Al;OUI;NON
India;D1;ISL;OUI;NON
Iceland;D1;Pepsideild;OUI;NON
Japan;D1;J1 League;OUI;OUI
South Korea;D1;K League 1;OUI;NON
Mexico;D1;Liga MX;OUI;OUI
Norway;D1;Eliteserien;OUI;OUI
Poland;D1;Ekstraklasa;OUI;OUI
Romania;D1;Liga 1;NON;NON
Serbia;D1;Super Liga;OUI;OUI
Russia;D1;Premier League;OUI;OUI
Sweden;D1;Allsvenskan;OUI;OUI
Slovenia;D1;Prva liga;OUI;NON
Slovakia;D1;Fortuna liga;OUI;NON
Switzerland;D1;Super League;OUI;OUI
Turkey;D1;Super Lig;OUI;OUI
Ukraine;D1;Premier League;OUI;OUI
USA;D1;MLS;OUI;OUI
United Arab Emirates;D2;Division 1;OUI;NON
Austria;D2;2. Liga;OUI;OUI
Australia;D2;NPL ACT;OUI;OUI
Belgium;D2;Proximus League;OUI;OUI
