country,league,season,id
Spain,Spain Primera Liga,21-22,207
France,France Ligue 1,21-22,99
United States of America,USA MLS,21-22,242
Paraguay,Paraguay Division Profesional,21-22,257
Belarus,Belarus Premier League,21-22,79
Iceland,Iceland Premier League,21-22,222
Finland,Finland Veikkausliiga,21-22,189
Australia,Australia A-League,21-22,1727
Brazil,Brazil Serie A,21-22,155
Netherlands,Netherlands Eredivisie,21-22,66
Japan,Japan J-League,21-22,895
Spain,Spain Segunda,21-22,221
Portugal,Portugal Primeira Liga,21-22,172
Portugal,Portugal Segunda Liga,21-22,63
Denmark,Denmark Superligaen,21-22,49
Azerbaijan,Azerbaijan Premier League,21-22,860
Argentina,Argentina Liga Profesional,21-22,26549
Norway,Norway Eliteserien,21-22,126
North Macedonia,North Macedonia First League,21-22,169
Armenia,Armenia Premier League,21-22,107
Belgium,Belgium First Division A,21-22,95
Bosnia and Herzegovina,Bosnia & Herzegovina Premier Liga,21-22,181
Ukraine,Ukraine Vyscha Liga,21-22,151
Switzerland,Switzerland Super League,21-22,74
Croatia,Croatia 1.HNL,21-22,229
Czechia,Czech Republic First League,21-22,178
Albania,Albania First Division,21-22,6915
Greece,Greece Super League 1,21-22,910
Cyprus,Cyprus Division 1,21-22,183
Slovenia,Slovenia Prva Liga,21-22,174
Slovakia,Slovakia Super Liga,21-22,218
Georgia,Georgia Erovnuli Liga,21-22,942
Chile,Chile Primera Division,21-22,8613
Italy,Italy Serie A,21-22,199
Italy,Italy Serie B,21-22,190
Turkey,Turkey Super Lig,21-22,215
Austria,Austria Bundesliga,21-22,166
Romania,Romania Liga I,21-22,173
Poland,Poland Ekstraklasa,21-22,125
Colombia,Colombia Primera A,21-22,254
Montenegro,Montenegro Prva Liga,21-22,233
Bulgaria,Bulgaria First League,21-22,203
Luxembourg,Luxembourg Division Nationale,21-22,158
Germany,Germany Bundesliga I,21-22,123
Germany,Germany Bundesliga II,21-22,72
Israel,Israel Premier League,21-22,230
Faroe Islands,Faroe Islands Premier League,21-22,4228
France,France Ligue 2,21-22,876
United Kingdom of Great Britain and Northern Ireland,England Championship,21-22,880
United Kingdom of Great Britain and Northern Ireland,England Premier League,21-22,94
United Kingdom of Great Britain and Northern Ireland,Northern Ireland Premier,21-22,613
United Kingdom of Great Britain and Northern Ireland,Scotland Premiership,21-22,901
United Kingdom of Great Britain and Northern Ireland,Wales Premier League,21-22,156
Malta,Malta Premier League,21-22,922
China,China Super League,21-22,849
Kazakhstan,Kazakhstan Premier League,21-22,905
Lithuania,Lithuania A Lyga,21-22,193
Estonia,Estonia Meistriliiga,21-22,867
Sweden,Sweden Allsvenskan,21-22,100
Ecuador,Ecuador Campeonato Nacional,21-22,540
Ireland,Republic of Ireland Premier Division,21-22,398
Latvia,Latvia Virsliga,21-22,77
"Moldova, Republic of",Moldova Divizia Nationala,21-22,1086
Hungary,Hungary NB I,21-22,920
Algeria,Algeria Division 1,21-22,834
Gibraltar,Gibraltar National League,21-22,18138
Serbia,Serbia Super Liga,21-22,175
Mexico,Mexico Apertura,21-22,219
Mexico,Mexico Clausura,21-22,3277
Morocco,Morocco GNF 1,21-22,211
Tunisia,Tunisia League 1,21-22,825
"Korea, Republic of",South Korea K League 1,21-22,8910
