,league,country,season,id
0,Andorra Second Division,Andorra,21-22,13805
1,UAE Division 1,United Arab Emirates,21-22,2632
2,UAE Premier League,United Arab Emirates,21-22,1089
3,Albania Championship,Albania,21-22,6733
4,Armenia First League,Armenia,21-22,314
5,Angola Girabola,Angola,21-22,22486
6,Argentina Nacional B,Argentina,21-22,232
7,Austria 2. Liga,Austria,21-22,11477
8,Azerbaijan Division 1,Azerbaijan,21-22,798
9,Bosnia & Herzegovina 1st League,Bosnia and Herzegovina,21-22,675
10,Bangladesh Premier League,Bangladesh,21-22,820
11,Bulgaria B PFG,Bulgaria,21-22,6402
12,Bahrain Premier League,Bahrain,21-22,827
13,Bahrain Division 2,Bahrain,21-22,810
14,Bolivia Apertura,Bolivia (Plurinational State of),21-22,881
15,Brazil Serie B,Brazil,21-22,328
16,Botswana Premier League,Botswana,21-22,2867
17,Belarus Division 1,Belarus,21-22,160
18,Canada Premier League,Canada,21-22,15849
19,Canada Championships,Canada,21-22,15785
20,Congo Premier League,Congo,21-22,9293
21,Switzerland Challenge League,Switzerland,21-22,103
22,Ivory Coast Premier Division,Côte d'Ivoire,21-22,808
23,Chile Primera B,Chile,21-22,182
24,Cameroon Elite One,Cameroon,21-22,96
25,China Division 2,China,21-22,889
26,Colombia Primera B,Colombia,21-22,255
27,Costa Rica Segunda,Costa Rica,21-22,447
28,Costa Rica Primera Division,Costa Rica,21-22,223
29,Cyprus Division 2,Cyprus,21-22,1095
30,Czech Republic First League,Czechia,21-22,178
31,Denmark Division 1,Denmark,21-22,75
32,Algeria Division 2,Algeria,21-22,869
33,Ecuador Campeonato Nacional,Ecuador,21-22,540
34,Ecuador Primera B,Ecuador,21-22,167
35,Estonia Esiliiga,Estonia,21-22,56
36,Egypt Division 1,Egypt,21-22,1069
37,Ethiopia Premier League,Ethiopia,21-22,2669
38,Finland Division 1,Finland,21-22,196
39,Faroe Islands Div 1,Faroe Islands,21-22,6172
40,Northern Ireland Championship,United Kingdom of Great Britain and Northern Ireland,21-22,1742
41,Scotland Championship,United Kingdom of Great Britain and Northern Ireland,21-22,916
42,Georgia Erovnuli Liga 2,Georgia,21-22,2340
43,Ghana Premier League,Ghana,21-22,188
44,Greece Super League 2,Greece,21-22,18859
